aammes,titulo,url,status_http,formato,coletado_em
202607,"HTMLJulho - Em julho, custo da cesta básica diminui em 26 capitais",https://www.dieese.org.br/analisecestabasica/2026/202607cestabasica.pdf,200,pdf,2026-09-18 05:11:43
202606,"HTMLJunho - Em junho, custo da cesta aumenta em 17 capitais",https://www.dieese.org.br/analisecestabasica/2026/202606cestabasica.pdf,200,pdf,2026-09-18 05:11:54
202605,"HTMLMaio - Em maio, custo da cesta aumenta em todas as 27 capitais analisadas",https://www.dieese.org.br/analisecestabasica/2026/202605cestabasica.pdf,200,pdf,2026-09-18 05:12:06
202604,"HTMLAbril - Pelo segundo mês consecutivo, o custo da cesta básica aumenta em todas as 27 capitais",https://www.dieese.org.br/analisecestabasica/2026/202604cestabasica.pdf,200,pdf,2026-09-18 05:12:17
202603,"HTMLMarço - Em março, custo da cesta aumenta nas 27 capitais",https://www.dieese.org.br/analisecestabasica/2026/202603cestabasica.pdf,200,pdf,2026-09-18 05:12:29
202607,"HTMLJulho - Em julho, custo da cesta básica diminui em 26 capitais",https://www.dieese.org.br/analisecestabasica/2026/202607cestabasica.pdf,200,pdf,"2026-09-18 05:22:21 (recuperado, já existia no disco)"
202606,"HTMLJunho - Em junho, custo da cesta aumenta em 17 capitais",https://www.dieese.org.br/analisecestabasica/2026/202606cestabasica.pdf,200,pdf,"2026-09-18 05:22:32 (recuperado, já existia no disco)"
202605,"HTMLMaio - Em maio, custo da cesta aumenta em todas as 27 capitais analisadas",https://www.dieese.org.br/analisecestabasica/2026/202605cestabasica.pdf,200,pdf,"2026-09-18 05:22:43 (recuperado, já existia no disco)"
202604,"HTMLAbril - Pelo segundo mês consecutivo, o custo da cesta básica aumenta em todas as 27 capitais",https://www.dieese.org.br/analisecestabasica/2026/202604cestabasica.pdf,200,pdf,"2026-09-18 05:22:54 (recuperado, já existia no disco)"
202603,"HTMLMarço - Em março, custo da cesta aumenta nas 27 capitais",https://www.dieese.org.br/analisecestabasica/2026/202603cestabasica.pdf,200,pdf,"2026-09-18 05:23:05 (recuperado, já existia no disco)"
202602,"HTMLFevereiro - Em fevereiro, o custo da cesta aumenta em 14 capitais",https://www.dieese.org.br/analisecestabasica/2026/202602cestabasica.pdf,200,pdf,"2026-09-18 05:23:17 (recuperado, já existia no disco)"
202601,"HTMLJaneiro - Em janeiro, custo da cesta aumenta em 24 capitais",https://www.dieese.org.br/analisecestabasica/2026/202601cestabasica.pdf,200,pdf,"2026-09-18 05:23:28 (recuperado, já existia no disco)"
202512,"HTMLDezembro - Em dezembro, custo da cesta aumenta em 17 capitais",https://www.dieese.org.br/analisecestabasica/2025/202512cestabasica.pdf,200,pdf,"2026-09-18 05:23:39 (recuperado, já existia no disco)"
202511,"HTMLNovembro - Em novembro, custo da cesta diminui em 24 capitais",https://www.dieese.org.br/analisecestabasica/2025/202511cestabasica.pdf,200,pdf,"2026-09-18 05:23:50 (recuperado, já existia no disco)"
202510,"HTMLOutubro - Em outubro, custo da cesta aumenta em 16 capitais",https://www.dieese.org.br/analisecestabasica/2025/202510cestabasica.pdf,200,pdf,"2026-09-18 05:24:01 (recuperado, já existia no disco)"
202509,"HTMLSetembro - Em setembro, custo da cesta básica fica menor em 22 capitais",https://www.dieese.org.br/analisecestabasica/2025/202509cestabasica.pdf,200,pdf,"2026-09-18 05:24:13 (recuperado, já existia no disco)"
202508,HTMLAgosto - Custo da cesta diminui em 24 capitais em agosto,https://www.dieese.org.br/analisecestabasica/2025/202508cestabasica.pdf,200,pdf,"2026-09-18 05:24:24 (recuperado, já existia no disco)"
202507,HTMLJulho - Custo da cesta diminui em 15 das 27 capitais brasileiras em julho,https://www.dieese.org.br/analisecestabasica/2025/202507cestabasica.pdf,200,pdf,"2026-09-18 05:24:35 (recuperado, já existia no disco)"
202506,HTMLJunho - Custo da cesta diminui em 11 capitais em junho,https://www.dieese.org.br/analisecestabasica/2025/202506cestabasica.pdf,200,pdf,"2026-09-18 05:24:47 (recuperado, já existia no disco)"
202505,HTMLMaio - Custo da cesta diminui em 15 capitais em maio,https://www.dieese.org.br/analisecestabasica/2025/202505cestabasica.pdf,200,pdf,"2026-09-18 05:24:57 (recuperado, já existia no disco)"
202504,HTMLAbril - Custo da cesta aumenta em 15 capitais em abril,https://www.dieese.org.br/analisecestabasica/2025/202504cestabasica.pdf,200,pdf,"2026-09-18 05:25:09 (recuperado, já existia no disco)"
202503,HTMLMarço - Custo da cesta aumenta em 14 capitais em março,https://www.dieese.org.br/analisecestabasica/2025/202503cestabasica.pdf,200,pdf,"2026-09-18 05:25:20 (recuperado, já existia no disco)"
202502,HTMLFevereiro - Custo da cesta aumenta em 14 capitais em fevereiro,https://www.dieese.org.br/analisecestabasica/2025/202502cestabasica.pdf,200,pdf,"2026-09-18 05:25:30 (recuperado, já existia no disco)"
202501,HTMLJaneiro - Valor da cesta básica aumenta em 13 capitais em janeiro,https://www.dieese.org.br/analisecestabasica/2025/202501cestabasica.pdf,200,pdf,"2026-09-18 05:25:41 (recuperado, já existia no disco)"
202412,"HTMLDezembro - Em 2024, custo da cesta básica aumenta em todas as capitais",https://www.dieese.org.br/analisecestabasica/2024/202412cestabasica.pdf,200,pdf,"2026-09-18 05:25:52 (recuperado, já existia no disco)"
202411,HTMLNovembro - Custo da cesta básica aumenta em todas as cidades,https://www.dieese.org.br/analisecestabasica/2024/202411cestabasica.pdf,200,pdf,"2026-09-18 05:26:03 (recuperado, já existia no disco)"
202410,HTMLOutubro - Custo da cesta básica aumenta em todas as cidades,https://www.dieese.org.br/analisecestabasica/2024/202410cestabasica.pdf,200,pdf,"2026-09-18 05:26:14 (recuperado, já existia no disco)"
202409,HTMLSetembro - Custo da cesta básica aumenta em 10 cidades,https://www.dieese.org.br/analisecestabasica/2024/202409cestabasica.pdf,200,pdf,"2026-09-18 05:26:25 (recuperado, já existia no disco)"
202408,"HTMLAgosto - Pelo segundo mês consecutivo, custo da cesta básica diminui em todas as cidades",https://www.dieese.org.br/analisecestabasica/2024/202408cestabasica.pdf,200,pdf,"2026-09-18 05:26:36 (recuperado, já existia no disco)"
202407,HTMLJulho - Custo da cesta básica diminuiem todas as cidades em julho,https://www.dieese.org.br/analisecestabasica/2024/202407cestabasica.pdf,200,pdf,"2026-09-18 05:26:47 (recuperado, já existia no disco)"
202406,HTMLJunho - Custo da cesta básica aumenta em 10 cidades,https://www.dieese.org.br/analisecestabasica/2024/202406cestabasica.pdf,200,pdf,"2026-09-18 05:26:58 (recuperado, já existia no disco)"
202405,HTMLMaio - Custo da cesta básica aumenta em 11 cidades,https://www.dieese.org.br/analisecestabasica/2024/202405cestabasica.pdf,200,pdf,"2026-09-18 05:27:08 (recuperado, já existia no disco)"
202404,HTMLAbril - Custo da cesta aumenta em todas as cidades do Norte e Nordeste,https://www.dieese.org.br/analisecestabasica/2024/202404cestabasica.pdf,200,pdf,"2026-09-18 05:27:19 (recuperado, já existia no disco)"
202403,HTMLMarço - Custo da cesta aumenta em 10 capitais em março,https://www.dieese.org.br/analisecestabasica/2024/202403cestabasica.pdf,200,pdf,"2026-09-18 05:27:30 (recuperado, já existia no disco)"
202402,HTMLFevereiro - Custo da cesta aumenta em 14 capitais,https://www.dieese.org.br/analisecestabasica/2024/202402cestabasica.pdf,200,pdf,"2026-09-18 05:27:41 (recuperado, já existia no disco)"
202401,"HTMLJaneiro - Em janeiro, valor da cesta básica sobe em 16 capitais",https://www.dieese.org.br/analisecestabasica/2024/202401cestabasica.pdf,200,pdf,"2026-09-18 05:27:53 (recuperado, já existia no disco)"
202312,"HTMLDezembro - Em 2023, preço da cesta básica diminuiu em 15 capitais",https://www.dieese.org.br/analisecestabasica/2023/202312cestabasica.pdf,200,pdf,"2026-09-18 05:28:04 (recuperado, já existia no disco)"
202311,HTMLNovembro - Custo da cesta básica é maior em nove capitais,https://www.dieese.org.br/analisecestabasica/2023/202311cestabasica.pdf,200,pdf,"2026-09-18 05:28:15 (recuperado, já existia no disco)"
202310,HTMLOutubro - Custo da cesta básica fica menor em 12 capitais,https://www.dieese.org.br/analisecestabasica/2023/202310cestabasica.pdf,200,pdf,"2026-09-18 05:28:26 (recuperado, já existia no disco)"
202309,HTMLSetembro - Custo da cesta fica menor em 14 capitais,https://www.dieese.org.br/analisecestabasica/2023/202309cestabasica.pdf,200,pdf,"2026-09-18 05:28:37 (recuperado, já existia no disco)"
202308,HTMLAgosto - Custo da cesta fica menor em 16 capitais,https://www.dieese.org.br/analisecestabasica/2023/202308cestabasica.pdf,200,pdf,"2026-09-18 05:28:49 (recuperado, já existia no disco)"
202307,HTMLJulho - Custo da cesta diminuiu em 13 capitais,https://www.dieese.org.br/analisecestabasica/2023/202307cestabasica.pdf,200,pdf,"2026-09-18 05:29:00 (recuperado, já existia no disco)"
202306,HTMLJunho - Custo da cesta diminuiu em 10 capitais,https://www.dieese.org.br/analisecestabasica/2023/202306cestabasica.pdf,200,pdf,"2026-09-18 05:29:11 (recuperado, já existia no disco)"
202305,"HTMLMaio - Em maio, custo da cesta diminui em 11 capitais",https://www.dieese.org.br/analisecestabasica/2023/202305cestabasica.pdf,200,pdf,"2026-09-18 05:29:22 (recuperado, já existia no disco)"
202304,HTMLAbril - Custo da cesta aumenta em 14 capitais,https://www.dieese.org.br/analisecestabasica/2023/202304cestabasica.pdf,200,pdf,"2026-09-18 05:29:33 (recuperado, já existia no disco)"
202303,HTMLMarço - Custo da cesta diminuiu em 13 capitais em março,https://www.dieese.org.br/analisecestabasica/2023/202303cestabasica.pdf,200,pdf,"2026-09-18 05:29:45 (recuperado, já existia no disco)"
202302,HTMLFevereiro - Custo da cesta diminui em 13 capitais em fevereiro,https://www.dieese.org.br/analisecestabasica/2023/202302cestabasica.pdf,200,pdf,"2026-09-18 05:29:56 (recuperado, já existia no disco)"
202301,"HTMLJaneiro - Em janeiro, cestas do Nordeste têm as maiores altas",https://www.dieese.org.br/analisecestabasica/2023/202301cestabasica.pdf,200,pdf,"2026-09-18 05:30:07 (recuperado, já existia no disco)"
202212,"HTMLDezembro - Em 2022, preço da cesta básica aumenta em todas as 17 capitais pesquisadas",https://www.dieese.org.br/analisecestabasica/2022/202212cestabasica.pdf,200,pdf,"2026-09-18 05:30:18 (recuperado, já existia no disco)"
202211,HTMLNovembro - Custo da cesta básica aumenta nas capitais do Centro-Sul,https://www.dieese.org.br/analisecestabasica/2022/202211cestabasica.pdf,200,pdf,"2026-09-18 05:30:29 (recuperado, já existia no disco)"
202210,HTMLOutubro - Custo da cesta básica aumenta em 12 capitais,https://www.dieese.org.br/analisecestabasica/2022/202210cestabasica.pdf,200,pdf,"2026-09-18 05:30:40 (recuperado, já existia no disco)"
202209,HTMLSetembro - Custo da cesta básica diminui em 12 capitais,https://www.dieese.org.br/analisecestabasica/2022/202209cestabasica.pdf,200,pdf,"2026-09-18 05:30:51 (recuperado, já existia no disco)"
