mes,data_referencia,ano,mes_num,capital,sigla_uf,capital_bruto,valor,var_mensal,pct_sal,tempo,tempo_em_horas,var_ano,var_12,flag_capital_variante,flag_conflito_capital_mes,flag_diverge_var_mensal,n_capitais_no_mes,periodo_cobertura,tipo_cesta,ipca_grupo,ipca_variavel,ipca_var_mensal_pct,ipca_tabela_sidra,ano_eleitoral_referencia,ano_eleitoral_presidente_referencia,ano_eleitoral_governador_referencia,tse_presidente_nm_candidato,tse_presidente_sg_partido,tse_presidente_nm_partido,tse_presidente_nm_coligacao,tse_governador_nm_candidato,tse_governador_sg_partido,tse_governador_nm_partido,tse_governador_nm_coligacao
200501,2005-01-01,2005,1,Aracaju,SE,ARACAJU,130.45,-0.65,54.33,110h23m,110.38333333333334,,-11.06,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200502,2005-02-01,2005,2,Aracaju,SE,ARACAJU,134.93,3.43,56.2,114h10m,114.16666666666667,2.76,,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.49,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200503,2005-03-01,2005,3,Aracaju,SE,ARACAJU,133.58,-1.0,55.63,113h02m,113.03333333333333,1.73,,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.26,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200504,2005-04-01,2005,4,Aracaju,SE,ARACAJU,137.41,2.87,57.23,116h16m,116.26666666666667,4.65,,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.81,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200505,2005-05-01,2005,5,Aracaju,SE,ARACAJU,143.03,4.09,51.63,104h53m,104.88333333333334,8.93,4.14,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.65,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200506,2005-06-01,2005,6,Aracaju,SE,ARACAJU,147.4,3.06,53.2,108h06m,108.1,12.25,6.48,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.67,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200507,2005-07-01,2005,7,Aracaju,SE,Aracaju,139.92,-5.07,50.5,102h36m,102.6,6.56,1.13,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.77,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200508,2005-08-01,2005,8,Aracaju,SE,ARACAJU,135.04,-3.49,48.74,99h02m,99.03333333333333,2.84,-10.06,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.73,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200509,2005-09-01,2005,9,Aracaju,SE,ARACAJU,133.11,-1.43,48.05,97h37m,97.61666666666666,1.37,,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.25,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200510,2005-10-01,2005,10,Aracaju,SE,ARACAJU,133.4,0.22,48.15,97h50m,97.83333333333333,1.59,1.45,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
