capital,valor,var_mensal,pct_sal,tempo,var_ano,var_12,aammes
RECIFE,132.31,7.58,55.1,111h57m,,-3.01,200501
JOÃO PESSOA,133.6,5.92,55.64,113h03m,,-2.12,200501
NATAL,137.09,4.01,57.09,116h00m,,-3.6,200501
VITÓRIA,157.96,3.66,65.79,133h40m,,6.64,200501
CURITIBA,160.1,2.69,66.68,135h28m,,-0.29,200501
GOIÂNIA,151.78,1.94,63.21,128h26m,,3.48,200501
BELÉM,152.2,1.67,63.39,128h47m,,2.97,200501
SALVADOR,127.85,1.6,53.25,108h11m,,-10.96,200501
BRASÍLIA,170.62,1.12,71.06,144h22m,,2.54,200501
SÃO PAULO,172.87,0.39,72.0,146h16m,,1.08,200501
FORTALEZA,125.2,0.38,52.14,105h56m,,-7.8,200501
FLORIANÓPOLIS,157.47,0.03,65.58,133h15m,,2.33,200501
RIO DE JANEIRO,164.81,-0.34,68.64,139h27m,,-1.24,200501
ARACAJU,130.45,-0.65,54.33,110h23m,,-11.06,200501
BELO HORIZONTE,150.56,-1.12,62.7,127h24m,,-5.26,200501
PORTO ALEGRE,168.8,-3.4,70.3,142h50m,,-1.89,200501
SALVADOR,133.74,4.61,55.7,113h10m,6.28,,200502
PORTO ALEGRE,175.57,4.01,73.12,148h34m,0.47,3.69,200502
VITÓRIA,163.69,3.63,68.17,138h30m,7.42,11.16,200502
ARACAJU,134.93,3.43,56.2,114h10m,2.76,,200502
RIO DE JANEIRO,169.79,3.02,70.71,143h40m,2.67,4.87,200502
CURITIBA,164.13,2.52,68.36,138h33m,5.27,4.0,200502
NATAL,140.52,2.5,58.52,118h54m,6.62,0.79,200502
BELÉM,155.26,2.01,64.66,131h22m,3.71,6.34,200502
SÃO PAULO,175.04,1.26,72.9,148h07m,1.65,4.81,200502
GOIÂNIA,153.51,1.14,63.93,129h54m,3.1,3.81,200502
FLORIANÓPOLIS,159.18,1.09,66.29,134h41m,1.12,6.25,200502
JOÃO PESSOA,134.13,0.4,55.86,113h30m,6.34,-4.47,200502
BELO HORIZONTE,150.97,0.27,62.88,127h45m,-0.85,-3.39,200502
FORTALEZA,124.91,-0.23,52.02,105h42m,0.14,-10.25,200502
BRASÍLIA,170.1,-0.3,70.84,143h53m,0.81,3.23,200502
RECIFE,130.79,-1.15,54.47,110h40m,6.34,-6.79,200502
BELO HORIZONTE,157.47,4.31,65.85,133h15m,3.41,1.92,200503
FORTALEZA,127.42,2.01,53.07,107h49m,2.16,-11.29,200503
GOIÂNIA,156.48,1.93,65.17,132h24m,5.1,6.22,200503
FLORIANÓPOLIS,161.74,1.61,67.36,136h51m,2.74,9.53,200503
CURITIBA,166.32,1.33,69.27,140h44m,6.68,7.7,200503
SÃO PAULO,175.87,0.47,73.25,148h49m,2.13,5.34,200503
RECIFE,131.19,0.31,54.64,111h00m,6.67,-4.55,200503
PORTO ALEGRE,175.64,0.04,73.15,148h37m,0.51,7.23,200503
BELÉM,154.69,-0.37,64.42,130h53m,3.33,5.28,200503
SALVADOR,132.6,-0.85,55.22,112h12m,5.37,,200503
JOÃO PESSOA,132.8,-0.99,55.31,112h22m,5.29,-5.14,200503
ARACAJU,133.58,-1.0,55.63,113h02m,1.73,,200503
RIO DE JANEIRO,167.02,-1.63,69.56,141h19m,0.99,5.33,200503
BRASÍLIA,167.29,-1.65,69.67,141h33m,-0.85,2.68,200503
VITÓRIA,159.26,-2.71,66.33,134h46m,4.52,6.87,200503
NATAL,133.18,-5.22,55.47,112h41m,1.05,-6.98,200503
BELO HORIZONTE,167.75,6.53,69.86,141h57m,10.17,9.41,200504
FORTALEZA,134.36,5.45,55.96,113h41m,7.72,-2.09,200504
PORTO ALEGRE,183.15,4.28,76.28,154h58m,4.81,11.64,200504
NATAL,138.72,4.16,57.77,117h23m,5.25,0.09,200504
VITÓRIA,165.19,3.72,68.8,139h47m,8.41,12.99,200504
RECIFE,135.7,3.44,56.52,114h49m,10.33,-1.74,200504
CURITIBA,171.69,3.23,71.5,145h17m,10.12,9.85,200504
FLORIANÓPOLIS,166.9,3.19,69.51,141h13m,6.02,16.69,200504
SÃO PAULO,180.93,2.88,75.35,153h06m,5.07,9.65,200504
ARACAJU,137.41,2.87,57.23,116h16m,4.65,,200504
BRASÍLIA,171.47,2.5,71.41,145h05m,1.62,7.59,200504
RIO DE JANEIRO,170.21,1.91,70.89,144h01m,2.92,10.82,200504
GOIÂNIA,158.27,1.14,65.92,133h55m,6.3,8.86,200504
JOÃO PESSOA,133.94,0.86,55.78,113h20m,6.19,-1.85,200504
BELÉM,155.37,0.44,64.71,131h28m,3.79,4.7,200504
SALVADOR,131.57,-0.78,54.8,111h20m,4.55,,200504
