data,mes,grupo,variavel,valor,tabela
1994-01-01,199401,1.Alimentação e bebidas,IPCA - Variação mensal,46.8,58
1994-02-01,199402,1.Alimentação e bebidas,IPCA - Variação mensal,40.4,58
1994-03-01,199403,1.Alimentação e bebidas,IPCA - Variação mensal,44.26,58
1994-04-01,199404,1.Alimentação e bebidas,IPCA - Variação mensal,43.19,58
1994-05-01,199405,1.Alimentação e bebidas,IPCA - Variação mensal,40.21,58
1994-06-01,199406,1.Alimentação e bebidas,IPCA - Variação mensal,52.15,58
1994-07-01,199407,1.Alimentação e bebidas,IPCA - Variação mensal,10.03,58
1994-08-01,199408,1.Alimentação e bebidas,IPCA - Variação mensal,1.45,58
1994-09-01,199409,1.Alimentação e bebidas,IPCA - Variação mensal,0.13,58
1994-10-01,199410,1.Alimentação e bebidas,IPCA - Variação mensal,4.79,58
1994-11-01,199411,1.Alimentação e bebidas,IPCA - Variação mensal,4.65,58
1994-12-01,199412,1.Alimentação e bebidas,IPCA - Variação mensal,0.96,58
1995-01-01,199501,1.Alimentação e bebidas,IPCA - Variação mensal,0.73,58
1995-02-01,199502,1.Alimentação e bebidas,IPCA - Variação mensal,-0.06,58
1995-03-01,199503,1.Alimentação e bebidas,IPCA - Variação mensal,1.44,58
1995-04-01,199504,1.Alimentação e bebidas,IPCA - Variação mensal,1.99,58
1995-05-01,199505,1.Alimentação e bebidas,IPCA - Variação mensal,0.51,58
1995-06-01,199506,1.Alimentação e bebidas,IPCA - Variação mensal,-0.25,58
1995-07-01,199507,1.Alimentação e bebidas,IPCA - Variação mensal,0.98,58
1995-08-01,199508,1.Alimentação e bebidas,IPCA - Variação mensal,0.57,58
1995-09-01,199509,1.Alimentação e bebidas,IPCA - Variação mensal,-0.03,58
1995-10-01,199510,1.Alimentação e bebidas,IPCA - Variação mensal,0.32,58
1995-11-01,199511,1.Alimentação e bebidas,IPCA - Variação mensal,1.07,58
1995-12-01,199512,1.Alimentação e bebidas,IPCA - Variação mensal,0.86,58
1996-01-01,199601,1.Alimentação e bebidas,IPCA - Variação mensal,1.28,58
1996-02-01,199602,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,58
1996-03-01,199603,1.Alimentação e bebidas,IPCA - Variação mensal,-0.02,58
1996-04-01,199604,1.Alimentação e bebidas,IPCA - Variação mensal,0.5,58
1996-05-01,199605,1.Alimentação e bebidas,IPCA - Variação mensal,0.67,58
1996-06-01,199606,1.Alimentação e bebidas,IPCA - Variação mensal,0.67,58
1996-07-01,199607,1.Alimentação e bebidas,IPCA - Variação mensal,0.52,58
1996-08-01,199608,1.Alimentação e bebidas,IPCA - Variação mensal,-0.68,58
1996-09-01,199609,1.Alimentação e bebidas,IPCA - Variação mensal,-0.58,58
1996-10-01,199610,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,58
1996-11-01,199611,1.Alimentação e bebidas,IPCA - Variação mensal,-0.37,58
1996-12-01,199612,1.Alimentação e bebidas,IPCA - Variação mensal,-0.48,58
1997-01-01,199701,1.Alimentação e bebidas,IPCA - Variação mensal,0.97,58
1997-02-01,199702,1.Alimentação e bebidas,IPCA - Variação mensal,0.72,58
1997-03-01,199703,1.Alimentação e bebidas,IPCA - Variação mensal,1.22,58
1997-04-01,199704,1.Alimentação e bebidas,IPCA - Variação mensal,-0.16,58
1997-05-01,199705,1.Alimentação e bebidas,IPCA - Variação mensal,-0.92,58
