ANO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO
1994,1994001,Eleições 1994,03/10/1994,2,ELEIÇÃO ORDINÁRIA,1,ESTADUAL,RN,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,20030015102872,151,GARIBALDI ALVES FILHO,GARIBALDI ALVES FILHO,-3,#NE,#NE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994002,Eleições 1994,15/11/1994,2,ELEIÇÃO ORDINÁRIA,2,ESTADUAL,MG,MG,MINAS GERAIS,3,GOVERNADOR,13030045104852,451,EDUARDO BRANDAO DE AZEREDO,EDUARDO BRANDAO DE AZEREDO,-3,#NE,#NE,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994002,Eleições 1994,15/11/1994,2,ELEIÇÃO ORDINÁRIA,2,ESTADUAL,PA,PA,PARA,3,GOVERNADOR,14030045101085,451,ALMIR JOSE DE OLIVEIRA GABRIEL,ALMIR JOSE DE OLIVEIRA GABRIEL,-3,#NE,#NE,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994002,Eleições 1994,15/11/1994,2,ELEIÇÃO ORDINÁRIA,2,ESTADUAL,AC,AC,ACRE,3,GOVERNADOR,1030011100357,111,ORLEIR MESSIAS CAMELI,ORLEIR MESSIAS CAMELI,-3,#NE,#NE,11,PPR,PARTIDO PROGRESSISTA REFORMADOR,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994001,Eleições 1994,03/10/1994,2,ELEIÇÃO ORDINÁRIA,1,FEDERAL,BR,BR,BRASIL,1,PRESIDENTE,28010004511656,45,FERNANDO HENRIQUE CARDOSO,FERNANDO HENRIQUE CARDOSO,-3,#NE,#NE,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994002,Eleições 1994,15/11/1994,2,ELEIÇÃO ORDINÁRIA,2,ESTADUAL,AP,AP,AMAPA,3,GOVERNADOR,3030040101504,401,JOAO ALBERTO RODRIGUES CAPIBERIBE,JOAO ALBERTO RODRIGUES CAPIBER,-3,#NE,#NE,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994001,Eleições 1994,03/10/1994,2,ELEIÇÃO ORDINÁRIA,1,ESTADUAL,AM,AM,AMAZONAS,3,GOVERNADOR,4030011100593,111,AMAZONINO ARMANDO MENDES,AMAZONINO ARMANDO MENDES,-3,#NE,#NE,11,PPR,PARTIDO PROGRESSISTA REFORMADOR,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994001,Eleições 1994,03/10/1994,2,ELEIÇÃO ORDINÁRIA,1,ESTADUAL,MT,MT,MATO GROSSO,3,GOVERNADOR,11030012110957,121,DANTE MARTINS DE OLIVEIRA,DANTE MARTINS DE OLIVEIRA,-3,#NE,#NE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994002,Eleições 1994,15/11/1994,2,ELEIÇÃO ORDINÁRIA,2,ESTADUAL,RS,RS,RIO GRANDE DO SUL,3,GOVERNADOR,21030015110162,151,ANTONIO BRITTO FILHO,ANTONIO BRITTO FILHO,-3,#NE,#NE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
1994,1994001,Eleições 1994,03/10/1994,2,ELEIÇÃO ORDINÁRIA,1,FEDERAL,BR,BR,BRASIL,1,PRESIDENTE,28010004511656,45,FERNANDO HENRIQUE CARDOSO,FERNANDO HENRIQUE CARDOSO,-3,#NE,#NE,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-3,#NE,#NE,-3,#NE,#NE,1,ELEITO
